G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;01.10.13;12:00:00;Поступление товаров;00000102730;Номер документа в Е-Фарма 13006665;1;;;;;875E1477-5B82-44D8-BABB-22891E5C937B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;21838,08;;Роста;Договор поставки №76 от 02.09.2010 г.;13006665;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102764;Номер документа в Е-Фарма 13006145;1;;;;;308B1B94-BBA4-486D-AC43-7AD73F3D749A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5459,52;;Роста;Договор поставки №76 от 02.09.2010 г.;13006145;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102783;Номер документа в Е-Фарма 13005517;1;;;;;CC27195E-6196-428F-AAB7-AF76E8C4D2C8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;990,04;;Роста;Договор поставки №76 от 02.09.2010 г.;13005517;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102784;Номер документа в Е-Фарма 13005543;1;;;;;52B380CE-9295-4E71-8605-F59BB4060255;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;222,88;;Роста;Договор поставки №76 от 02.09.2010 г.;13005543;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102817;Номер документа в Е-Фарма 13006143;1;;;;;75AEA3FD-80C5-4B13-AA01-57E85357C73D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9071,3;;Роста;Договор поставки №76 от 02.09.2010 г.;13006143;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102822;Номер документа в Е-Фарма 13006168;1;;;;;89367361-DCA3-4B7B-A105-F4129145132D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;20928,16;;Роста;Договор поставки №76 от 02.09.2010 г.;13006168;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102838;Номер документа в Е-Фарма 13008556;1;;;;;A2C2D3F6-F948-46FE-BA0E-CCCD428F1959;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;230,23;;Роста;Договор поставки №76 от 02.09.2010 г.;13008556;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102839;Номер документа в Е-Фарма 13008560;1;;;;;B1B2EFD5-D8DA-46D8-93A4-DF1697AF7F46;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;488,2;;Роста;Договор поставки №76 от 02.09.2010 г.;13008560;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102873;Номер документа в Е-Фарма 13005335;1;;;;;EFE3306E-2D2A-45AD-945C-F441FB2B9099;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11731,16;;Роста;Договор поставки №76 от 02.09.2010 г.;13005335;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102880;Номер документа в Е-Фарма 13009090;1;;;;;4295840E-FA6C-43A6-B881-5161714B94F0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;14406,46;;Роста;Договор поставки №76 от 02.09.2010 г.;13009090;30.09.13;30.09.13
