

The values that are not in the second file but are in the first file.
;+;05.10.13;12:00:00;Поступление товаров;00000103628;Номер документа в Е-Фарма 359212;1;;;;;08BFF1E7-9468-4353-987E-F5F82D3DC244;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7118,71;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359212;04.10.13;04.10.13
;+;06.10.13;12:00:00;Поступление товаров;00000103630;Номер документа в Е-Фарма 357334;1;;;;;462102BA-E789-4B01-9156-BA026BE82633;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;61974;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);357334;03.10.13;03.10.13
;+;06.10.13;12:00:00;Поступление товаров;00000103631;Номер документа в Е-Фарма 357432;1;;;;;20F04CE7-E6A1-4F2A-AFED-B5D4B9217F33;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9313,26;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);357432;03.10.13;03.10.13
;+;06.10.13;12:00:00;Поступление товаров;00000103632;Номер документа в Е-Фарма 357528;1;;;;;FF189213-5E2F-4086-BC72-B0F9A70E9A47;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;31436,95;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);357528;03.10.13;03.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103648;Номер документа в Е-Фарма 358829;1;;;;;9527BCCA-5C65-476F-9E9C-694ED48964E6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11309,28;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);358829;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103650;Номер документа в Е-Фарма 359292;1;;;;;6621CD86-632F-4A15-B6DB-C2C4639A54FC;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4066,92;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359292;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103661;Номер документа в Е-Фарма 360353;1;;;;;A617E693-A6A4-4D22-A5B9-3345DF58C6F9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13363,34;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);360353;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103663;Номер документа в Е-Фарма 358663;1;;;;;47745D3D-904F-41F9-933E-CEB355C8C31F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3768,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);358663;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103664;Номер документа в Е-Фарма 359351;1;;;;;173AC4BD-9378-41A7-84CE-D7C24EA476BB;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2631,89;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359351;04.10.13;04.10.13
;+;07.10.13;12:00:00;Поступление товаров;00000103670;Номер документа в Е-Фарма 359042;1;;;;;3F6C5486-A40A-4627-8F46-1C9001F071BE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;14456,65;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);359042;04.10.13;04.10.13
