G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;30.10.13;12:00:00;Поступление товаров;00000107230;Номер документа в Е-Фарма 395938;1;;;;;2ED08C52-4ABC-4581-81E4-EF3216112901;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;47895,65;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);395938;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107232;Номер документа в Е-Фарма 394612;1;;;;;E93C3B54-5DAB-480D-93CD-3E6751DD233D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;19647,83;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394612;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107240;Номер документа в Е-Фарма 394845;1;;;;;2CF36F7A-06FA-4992-B2B9-91C565067607;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;14205,93;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394845;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107242;Номер документа в Е-Фарма 395715;1;;;;;E61DD058-3421-4D91-8952-EF0581FE5348;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4727,14;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);395715;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107251;Номер документа в Е-Фарма 395370;1;;;;;9B41D19C-F11A-44F8-A012-AB87B95953BC;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5875,32;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);395370;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107252;Номер документа в Е-Фарма 394732;1;;;;;837FB222-C6CB-4620-9985-69C49059A283;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2998,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394732;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107253;Номер документа в Е-Фарма 395482;1;;;;;F42CC81D-9436-444F-B406-3BAE2D1F2CB9;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;23020,73;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);395482;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107256;Номер документа в Е-Фарма 394867;1;;;;;FF4FE746-FBAD-4EC7-9E28-6BCFA7C47FA0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7527,33;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394867;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107257;Номер документа в Е-Фарма 394704;1;;;;;0284FFEE-D21D-4039-92E0-5C47CCD3A59F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;14622,28;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394704;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107267;Номер документа в Е-Фарма 394658;1;;;;;3A5C718B-5150-4F8F-A17A-2B523BC2AD3B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;12716,03;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394658;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107274;Номер документа в Е-Фарма 394706;1;;;;;76F25B58-E430-486C-A50D-A34F90ABBDE5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7723,68;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394706;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107287;Номер документа в Е-Фарма 394707;1;;;;;1C44432A-60F2-4A26-87E5-A52023EFE8F4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7306,55;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394707;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107290;Номер документа в Е-Фарма 394446;1;;;;;1A3EA2D0-4B11-4F5C-8CD1-AF6FF76CE590;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;14717,61;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394446;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107292;Номер документа в Е-Фарма 394666;1;;;;;F22A75F2-F369-450D-A8B2-9DBC395711DA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9519,04;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394666;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107310;Номер документа в Е-Фарма 394866;1;;;;;316A7633-321F-4B97-ACBE-47516E7E9F69;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5714,74;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394866;29.10.13;29.10.13
;+;30.10.13;12:00:00;Поступление товаров;00000107326;Номер документа в Е-Фарма 394836;1;;;;;6F0C69FF-8DBF-4374-8075-B87B9137C5F8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5171,42;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);394836;29.10.13;29.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107360;Номер документа в Е-Фарма 396415;1;;;;;D95BB50A-0B59-4D63-BE90-FDE5E12F5517;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;12511,43;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396415;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107361;Номер документа в Е-Фарма 396911;1;;;;;5D687BF8-59C0-4A4C-B798-B9A056953BD6;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2538,92;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396911;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107369;Номер документа в Е-Фарма 396611;1;;;;;3B9D2D57-7487-490D-AD37-074211A1BACD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;18301,97;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396611;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107370;Номер документа в Е-Фарма 397055;1;;;;;FE325524-4C13-4F40-9961-2A3934460000;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7389,58;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);397055;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107371;Номер документа в Е-Фарма 397450;1;;;;;B08DA106-6B33-420A-80DA-84A3947E93E0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4954,84;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);397450;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107395;Номер документа в Е-Фарма 396616;1;;;;;78A12C68-6E9E-44EF-B421-63C19112CD2C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9803,45;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396616;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107401;Номер документа в Е-Фарма 396515;1;;;;;EA184F67-8A74-4935-9AFC-EB8295B5BDE8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3387,06;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396515;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107405;Номер документа в Е-Фарма 396416;1;;;;;3C9EA93D-CE9C-476E-A292-3E4A5EFF2462;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7701,75;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396416;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107409;Номер документа в Е-Фарма 396798;1;;;;;DCF552AD-9F22-4DC9-BE55-8047B651A6C2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;39375,32;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396798;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107418;Номер документа в Е-Фарма 396360;1;;;;;A684EA05-75F1-4AFE-B75D-F5E89819FBDF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2023,45;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396360;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107420;Номер документа в Е-Фарма 396681;1;;;;;0B9CF54F-2E27-47E5-BA19-700B21333CBE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;12864,44;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396681;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107426;Номер документа в Е-Фарма 392434;1;;;;;8CF75F0A-F037-4875-98A6-5619AAE267A7;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3616,72;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);392434;28.10.13;28.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107428;Номер документа в Е-Фарма 392746;1;;;;;91D1CBD5-FDD5-4809-8765-606D68BD1F24;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;14033,48;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);392746;28.10.13;28.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107442;Номер документа в Е-Фарма 396413;1;;;;;5CE82F4F-7054-4EA1-86DD-C59B2FF6125D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;12963,56;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396413;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107449;Номер документа в Е-Фарма 396780;1;;;;;E5CA3F63-16BD-40B8-91BE-3269E7070907;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;24103,08;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396780;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107455;Номер документа в Е-Фарма 396467;1;;;;;9EC3AAC0-9963-48CA-BDB6-FFD261336D98;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11501,35;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396467;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107459;Номер документа в Е-Фарма 396414;1;;;;;484FAD6C-BF46-4AC3-A9BD-8D17336BE313;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7159,24;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396414;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107476;Номер документа в Е-Фарма 396946;1;;;;;6CA4A466-0AF7-4F7C-A609-1D786596B4EE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2065,25;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396946;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107477;Номер документа в Е-Фарма 397813;1;;;;;58EEEA60-B074-4988-B422-C552C4235716;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;15983,96;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);397813;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107482;Номер документа в Е-Фарма 396352;1;;;;;E4DEF507-7775-485E-A9C0-2CB05D723564;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5027,54;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396352;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107488;Номер документа в Е-Фарма 396573;1;;;;;BDC8D36A-0941-42AD-A5BF-255CBBDEA2E8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8840,51;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396573;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107489;Номер документа в Е-Фарма 396380;1;;;;;9C66AC19-CC0F-4F12-9B21-C5A4AC8E0B73;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;32450,71;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396380;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107521;Номер документа в Е-Фарма 396786;1;;;;;E49F4971-8666-4402-84A9-032BEE48C70A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;12378,94;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396786;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107523;Номер документа в Е-Фарма 397190;1;;;;;50E19602-E25D-4009-A1A0-2CBCF0138ABF;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2035,88;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);397190;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107545;Номер документа в Е-Фарма 396252;1;;;;;10CDF688-81EE-487A-AEDF-4130776DBBE3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13911,3;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396252;29.10.13;29.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107552;Номер документа в Е-Фарма 396379;1;;;;;6D0579ED-09F9-4D27-9071-BD780F6BBB75;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9789,32;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396379;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107553;Номер документа в Е-Фарма 396634;1;;;;;63A7FEDB-4BFA-4DEE-9565-E7DA4F2C7628;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2454,21;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396634;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107558;Номер документа в Е-Фарма 396323;1;;;;;1C97376E-E98C-4919-BF57-60C03A95082B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5942,06;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396323;30.10.13;30.10.13
;+;31.10.13;12:00:00;Поступление товаров;00000107559;Номер документа в Е-Фарма 396885;1;;;;;4E602DEF-9A6C-4CF3-9CC2-02BF42EAF01C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3296,24;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396885;30.10.13;30.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107574;Номер документа в Е-Фарма 399948;1;;;;;6EA61AFD-DD56-4636-90C5-3ED6701A1C1B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;23077,16;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399948;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107591;Номер документа в Е-Фарма 398569;1;;;;;BE31F8FA-5525-4D3C-BD84-BE23544190A2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3142,88;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398569;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107592;Номер документа в Е-Фарма 398843;1;;;;;5E5797F7-BB5B-4C63-AF9A-523C06592CC4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2109,31;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398843;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107593;Номер документа в Е-Фарма 399054;1;;;;;EF0D3B51-0E3D-4E6C-BF9E-494B104A7C6C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;39679,84;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399054;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107607;Номер документа в Е-Фарма 398620;1;;;;;802E9660-607C-4CB8-9889-192A79B859B5;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7729,95;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398620;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107608;Номер документа в Е-Фарма 399148;1;;;;;877F16A7-38B2-49F3-8378-61A36B79145B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4453,89;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399148;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107609;Номер документа в Е-Фарма 399361;1;;;;;11C0B6C4-6B7B-4770-90B7-71CD86C8291D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2041,38;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399361;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107617;Номер документа в Е-Фарма 398583;1;;;;;E608E8E1-7A33-4C52-8041-E4A6E51CBF8C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;25703,45;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398583;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107637;Номер документа в Е-Фарма 399019;1;;;;;F2F6E246-978B-48F5-88AF-8396F3621BE8;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4946,48;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399019;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107645;Номер документа в Е-Фарма 399362;1;;;;;5C94FF64-5511-423E-9956-C420CB0F9331;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4954,28;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399362;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107647;Номер документа в Е-Фарма 400344;1;;;;;AA2D4999-0871-4D39-BA3B-10066E3B9077;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11043,82;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);400344;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107649;Номер документа в Е-Фарма 396665;1;;;;;CFB5AE8E-2D2E-4384-A52E-B2ED43E80BDD;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5567,82;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);396665;30.10.13;30.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107652;Номер документа в Е-Фарма 398435;1;;;;;22DF3212-D8B9-4107-9C96-8319DCB78C2D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;11215,03;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398435;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107653;Номер документа в Е-Фарма 398389;1;;;;;D176C2DB-8CEE-4E18-AB7B-CC26AE913416;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2564,54;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398389;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107654;Номер документа в Е-Фарма 398621;1;;;;;6C3C8845-C443-451A-A82E-E33583852CD0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;16913,85;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398621;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107655;Номер документа в Е-Фарма 398777;1;;;;;B6B5FBAF-A0D1-4712-8BF8-78254F440F4E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2172,94;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398777;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107658;Номер документа в Е-Фарма 398434;1;;;;;CFD9167A-65D8-4A02-8EF5-A328AAD7759B;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13522,99;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398434;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107661;Номер документа в Е-Фарма 398496;1;;;;;CC76D884-7F77-4414-AAA1-D5FCDE79EEB3;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8349,5;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398496;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107687;Номер документа в Е-Фарма 398388;1;;;;;127F2B91-AC6C-42DB-87FD-3A4EFBBD9D72;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7680,13;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398388;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107691;Номер документа в Е-Фарма 399038;1;;;;;4FA9F04E-DAE3-4E06-B5D4-3EDD8CC89DCA;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;45794,09;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399038;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107697;Номер документа в Е-Фарма 399551;1;;;;;C98DC88C-C064-431F-B34F-7DE5DACE1A91;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2485,99;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399551;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107716;Номер документа в Е-Фарма 398433;1;;;;;B862A523-B521-42E8-BB94-929DB4663324;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;12953,22;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398433;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107717;Номер документа в Е-Фарма 399053;1;;;;;B395F238-EA89-44C6-86F9-346235231C68;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3547,72;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399053;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107718;Номер документа в Е-Фарма 398528;1;;;;;E56D02B2-4573-4634-A082-1404ADBFB547;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;17707,84;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398528;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107719;Номер документа в Е-Фарма 399190;1;;;;;648EB838-C19C-4A8D-9EA4-110CDA66120A;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2174,72;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399190;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107748;Номер документа в Е-Фарма 398651;1;;;;;4557602A-8AEF-4846-870E-6630F6A4E446;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;31138,32;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398651;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107749;Номер документа в Е-Фарма 399330;1;;;;;8FEE23D3-CC5C-4BEE-B63A-8EA1D9B69A34;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;4323,17;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399330;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107762;Номер документа в Е-Фарма 399849;1;;;;;6CB499E7-EBE0-42C3-BED3-1D02749ACEE0;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3206,61;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399849;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107763;Номер документа в Е-Фарма 399953;1;;;;;EA8A04DB-EBA9-49B4-9F1A-4E948D3CA149;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;27488,58;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399953;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107764;Номер документа в Е-Фарма 399954;1;;;;;5BEEE950-9ECB-4D23-AD0D-75C7F104BF32;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2828,32;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399954;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107766;Номер документа в Е-Фарма 398404;1;;;;;227CC332-733C-4ABD-A79A-1546CA13063F;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;13331,23;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398404;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107786;Номер документа в Е-Фарма 398465;1;;;;;9F1321E2-21E1-4E2C-A4AA-25CFCC30B204;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9511,14;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398465;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107803;Номер документа в Е-Фарма 398345;1;;;;;5C471018-96CC-4283-8BDE-A428A2597EC1;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;16715,39;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398345;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107804;Номер документа в Е-Фарма 398844;1;;;;;EEDA9BC3-7F02-47E0-8E1A-BC3CFD4F1FBE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;6640,48;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);398844;31.10.13;31.10.13
;+;01.11.13;12:00:00;Поступление товаров;00000107856;Номер документа в Е-Фарма 399884;1;;;;;A2B36626-1188-4821-8C89-1547647D42B2;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;34878,5;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);399884;31.10.13;31.10.13
