G;+;Дата;Время;Документ;Номер;Комментарий;АвтоматическийВвод;УникальныйИдентификатор;флВ;УникальныйИдентификаторА2000;ОтборВЖурнале;ИД_Ефа;Филиал документа;Филиал и тип журнала документов;Тип журнала документов;Поступление;Отгрузка;Контрагент;Основание;Номер входящего документа;;
;+;01.10.13;12:00:00;Поступление товаров;00000102801;Номер документа в Е-Фарма 351267;1;;;;;41ACE21C-1258-4D60-A94E-3A2C4E838166;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;7463,03;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351267;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102812;Номер документа в Е-Фарма 350358;1;;;;;7D4F8154-5122-478A-AF38-4BEB7F29FE87;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;8607,5;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350358;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102815;Номер документа в Е-Фарма 351026;1;;;;;9AAE8DEF-73E1-43BC-BEE5-B4894CD73791;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10312,9;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351026;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102816;Номер документа в Е-Фарма 350592;1;;;;;014CE134-BCBD-4FC5-8E86-2E1B7ED22349;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;9261,23;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);350592;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102818;Номер документа в Е-Фарма 351106;1;;;;;DC6E5B8B-7005-4242-9056-F8A6FC7B80DE;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3358,49;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351106;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102830;Номер документа в Е-Фарма 351324;1;;;;;45A8A5D1-E2B5-49FA-BF5B-9C7CD381283D;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;30692,38;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351324;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102836;Номер документа в Е-Фарма 351973;1;;;;;43628D53-753E-4E0B-99CD-0497E2378583;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3868,59;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351973;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102837;Номер документа в Е-Фарма 352053;1;;;;;32226AEF-3AF4-463C-9E12-16E4CEBE02D4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;31213,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352053;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102840;Номер документа в Е-Фарма 351588;1;;;;;E65732F5-64D8-4CAC-9598-282229B2EC3C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;10555,6;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351588;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102841;Номер документа в Е-Фарма 352078;1;;;;;16FD7F26-80BF-4593-8643-ADFE1402BEA4;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3960,62;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352078;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102852;Номер документа в Е-Фарма 351344;1;;;;;4CA099CA-3F98-4156-8022-F3336FD01832;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2962,84;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351344;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102853;Номер документа в Е-Фарма 351408;1;;;;;E07B7FCB-3EA9-4869-9869-3C9E8C85D77C;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;5145,8;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351408;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102854;Номер документа в Е-Фарма 351542;1;;;;;7A24DB02-C90B-4D90-BD36-2779A351890E;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;2319,3;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);351542;30.09.13;30.09.13
;+;01.10.13;12:00:00;Поступление товаров;00000102855;Номер документа в Е-Фарма 352087;1;;;;;E3B57F22-20A1-430E-B164-6753ABC50499;"ООО ""ФП ПАНАЦЕЯ""";00000001\034;034;3307,92;;Катрен;Дог. №4784/1 от 01.02.11г.  (ДС  от 01.01.13 г.);352087;30.09.13;30.09.13
